ID,GLON,GLAT,r,Bubble,Classic/bubble rim,Classic/inside bubble,Filament/ISM morphology,Classic/on filament,Pillar/Point Source,Point source Plus,Faint fuzzy,Classic/faint fuzzy,Classic YB,Unsure,Notes
1366,33.5900361,0.22577603,0.001880611,,,,,,,,,,X,,
1367,33.61149477,0.083306432,0.002073032,,,,,,,,X,,,,
1368,33.62918117,-0.017654574,0.001841574,,X,,,,,,,,,,
1369,33.6336327,-0.020999843,0.003414998,,,,,,,,,,X,,
1370,33.63799244,-0.035673578,0.001631857,,,,,,,,,,X,,
1371,33.64260408,-0.227646176,0.001341283,X,,,,,,,,,,,
1372,33.64570723,-0.312531889,0.006842121,,,,,,,X,,,,,
1373,33.64983037,-0.025827063,0.002804157,,,,,,,,X,,,,
1374,33.65373451,-0.017637616,0.002905127,,,,,,,,,,X,,
1375,33.6537698,-0.165333183,0.003030624,,,,,,,,,,X,,
1376,33.65397537,0.157118465,0.002319443,,,,,,,,X,,,,
1377,33.68048522,-0.01734179,0.001795401,,,,,,,,,,X,,
1378,33.70563431,0.283593982,0.001986697,,,,,,,,,,X,,
1379,33.71124683,0.134007651,0.001786684,,,,,,,,,,X,,
1380,33.72593862,-0.425135407,0.001812817,,,,,,,,,,X,,
1381,33.72662625,-0.118624428,0.002025231,,X,,,,,,,,,,
1382,33.739533,0.347657551,0.001858357,,,,,,,,,,X,,
1383,33.74563374,0.610719361,0.004609931,,,,,,,,,,X,,
1384,33.75216482,-0.064110407,0.002356372,,,,,,,,X,,,,
1385,33.75531386,0.296896664,0.004461617,X,,,,,,,,,,,
1386,33.76501356,0.036009606,0.002056414,,,,,,,,,,X,,
1387,33.76747254,0.030909251,0.002439121,,,,,,,,,,X,,
1388,33.77119126,-0.404690315,0.003856898,,,,,,,X,,,,,
1389,33.80850508,-0.153119763,0.004245949,X,,,,,,,,,,,
1390,33.81036074,-0.186687846,0.004298029,,,X,,,,,,,,,
1391,33.83285959,-0.122724075,0.005438537,,,,,,,X,,,,,
1392,33.87091963,0.057461901,0.002327079,,,,,,,,,,X,,
1393,33.88347451,0.058296916,0.002216007,,X,,,,,,,,,,
1394,33.9149335,0.107618537,0.004519133,,,X,,,,X,,,,,
1395,33.97843389,-0.203140766,0.005990386,,,,,,,,,,X,,
1396,33.98954445,-0.009981457,0.002265012,,,,,,,,,,X,,
1397,33.99078653,-0.004199974,0.004299997,,,,,,,,,,X,,
1398,34.02159512,0.233899188,0.003317756,,,,,,,,,,X,,
1399,34.03516682,0.164174439,0.004539425,X,,,,,,,X,,,,
1400,34.04346843,0.053551092,0.001747502,,,,,,,,X,,,,
1401,34.04990531,-0.297963765,0.003620183,,,,,,,X,,,,,
1402,34.0515109,-0.145422177,0.004118252,,,,,,,,,,X,,
1403,34.06687895,-0.596959255,0.002399217,,,,,,,,X,,,,
1404,34.08882773,0.435794018,0.002960984,,,,,,,X,,,,,
1405,34.09646691,0.01806835,0.003923826,,X,,,,,X,,,,,
1406,34.10269143,-0.026985486,0.003614817,,,X,,,,,,,,,
1407,34.13245295,0.471285267,0.004315032,,,,,,,,,,X,,
1408,34.15418534,0.031774536,0.004876713,,,,,,,,,,X,,
1409,34.19665233,-0.591653252,0.002083597,X,,,,,,,X,,,,
1410,34.20252241,0.105132813,0.004580194,,,,,,,,,,X,,
1411,34.26863896,-0.207595506,0.003784325,,,X,,,,,,,,,
1412,34.29854657,0.18185125,0.002988294,,,,,,,,,,X,,Looks like two bubbles 
1413,34.31089058,-0.094628279,0.003365498,,,,,,,,,,X,,
1414,34.3160817,0.009908025,0.00150421,,,,,,,,,,X,,
1415,34.40295853,0.228011575,0.003504793,X,,,,,,,,,,,
1416,34.41362099,-0.21545825,0.004620127,,,,,,,X,,,,,
1417,34.4380631,0.060828055,0.002413272,,,,,,,,X,,,,
1418,34.44341307,0.047270359,0.003109355,,X,,,,,,,,,,
1419,34.45718667,0.008990535,0.001815215,,,,,,,,,,X,,
1420,34.48817449,-0.177558836,0.001924743,,,,,,,,,,X,,
1421,34.52508849,0.307439529,0.003157099,,,,,,,,,X,,,
1422,34.56185338,-0.450263672,0.001779018,,,,,,,,X,,,,
1423,34.59172723,0.243326725,0.002462094,,,,,,,,X,,,,
